Product_name,Rating,Price,Product_link,Image_link
ASUS ASUS TUF Gaming FX507VI-LP066W Gaming (Upgraded Version) Laptop | 15.6 Inch FHD 144Hz 100% sRGB G-Sync | Intel Core I7-13620H | 16GB RAM | 1TB PCIe SSD | Nvidia GeForce RTX 4070 8GB | Windows 11 | Eclipse Gray English/Arabic Eclipse Gray,5.0,"73,999",https://www.noon.com/egypt-en/asus-tuf-gaming-fx507vi-lp066w-gaming-upgraded-version-laptop-15-6-inch-fhd-144hz-100-srgb-g-sync-intel-core-i7-13620h-16gb-ram-1tb-pcie-ssd-nvidia-geforce-rtx-4070-8gb-windows-11-eclipse-gray-english-arabic-eclipse-gray/N70118524V/p/?o=ec7bb0fb50a195ee,https://f.nooncdn.com/p/pnsku/N70118524V/45/_/1728622232/2ace65e2-7f16-415b-badf-c9c3f73a21bd.jpg?width=800
"BOLT Exotic Gaming PC Intel Core i5-13400F, RTX 4060 8GB, H610M-K, 32GB RAM/1TB SSD, 700W PSU, AG400 ARGB CPU Cooler Black",5.0,"65,000",https://www.noon.com/egypt-en/exotic-gaming-pc-intel-core-i5-13400f-rtx-4060-8gb-h610m-k-32gb-ram-1tb-ssd-700w-psu-ag400-argb-cpu-cooler-black/N70102963V/p/?o=de00d833de4aed6c,https://f.nooncdn.com/p/pnsku/N70102963V/45/_/1724695659/0a5a1ad8-1a6a-4f4b-86a6-ae79ac792020.jpg?width=800
ASUS Asus FX507VV-LP156W TUF Gaming F15 Intel Core i7-13620H RAM 16GB DDR5 1TB SSD NVIDIA GeForce RTX 4060 8GB 15.6 FHD SRGB 100% 144Hz Jaeger Gray 90NR0BV8-M009Y0 English/Arabic Jaeger Gray,5.0,"64,000",https://www.noon.com/egypt-en/asus-fx507vv-lp156w-tuf-gaming-f15-intel-core-i7-13620h-ram-16gb-ddr5-1tb-ssd-nvidia-geforce-rtx-4060-8gb-15-6-fhd-srgb-100-144hz-jaeger-gray-90nr0bv8-m009y0-english-arabic-jaeger-gray/N70128131V/p/?o=a9211720a7b350cb,https://f.nooncdn.com/p/pnsku/N70128131V/45/_/1731304001/01dde5a2-1a70-4af4-aed4-7d133486789c.jpg?width=800
"Lenovo Legion Pro 5 16IRX9  (Upgraded Version) Laptop With 16-Inch Display, Core i7-14650HX Processor/16GB RAM/1TB SSD/Nvidia GeForce RTX 4060 Graphics Card/Windows 11 English/Arabic Black",4.3,"78,000",https://www.noon.com/egypt-en/legion-pro-5-16irx9-upgraded-version-laptop-with-16-inch-display-core-i7-14650hx-processor-16gb-ram-1tb-ssd-nvidia-geforce-rtx-4060-graphics-card-windows-11-english-arabic-black/N70044731V/p/?o=b25a1c4529711f8c,https://f.nooncdn.com/p/pnsku/N70044731V/45/_/1707303830/d03e2a47-6bb6-4871-a805-eee7fd3d0612.jpg?width=800
"HP Victus Gaming (Upgraded Version) Laptop 15.6-Inch FHD 144Hz Display, AMD Ryzen 5-8645HS Processor/8GB RAM/512GB SSD/6GB Nvidia Geforce RTX 4050 Graphics Card/Windows 11 Home English Mica Silver",N/A,"43,000",https://www.noon.com/egypt-en/victus-gaming-upgraded-version-laptop-15-6-inch-fhd-144hz-display-amd-ryzen-5-8645hs-processor-8gb-ram-512gb-ssd-6gb-nvidia-geforce-rtx-4050-graphics-card-windows-11-home-english-mica-silver/N70106484V/p/?o=e8dd73a0b16c564d,https://f.nooncdn.com/p/pnsku/N70106484V/45/_/1725532496/fbf25aea-5f0f-441e-b090-2f8fa6d74d0c.jpg?width=800
1STPLAYER PC Gaming Core i5-10400F processor/16GB RAM 3200MB DDR4/1TB SSD/Windows 10 Pro/4GB NVIDIA GeForce GTX 1650 Black,4.0,"36,999",https://www.noon.com/egypt-en/pc-gaming-core-i5-10400f-processor-16gb-ram-3200mb-ddr4-1tb-ssd-windows-10-pro-4gb-nvidia-geforce-gtx-1650-black/N53425346A/p/?o=d52a60120663f08c,https://f.nooncdn.com/p/v1690993893/N53425346A_1.jpg?width=800
"BOLT Customized Gaming PC,Core i5-14600K Processor/32GB RAM/1TB SSD/16GB GeForce RTX 4060 Graphics Card/Windows 11 Home Black",N/A,"77,950",https://www.noon.com/egypt-en/customized-gaming-pc-core-i5-14600k-processor-32gb-ram-1tb-ssd-16gb-geforce-rtx-4060-graphics-card-windows-11-home-black/N70057426V/p/?o=eb81cac5245c544a,https://f.nooncdn.com/p/pnsku/N70057426V/45/_/1711027111/1901116e-bd5b-4886-ad27-57b0e03960b8.jpg?width=800
1STPLAYER TMD shark Gaming PC Intel Core i5-12400F Processor/16GB RAM/1TB M.2/ Windows 10 Pro /6GB NVIDIA GeForce GTX 1660Ti Graphic Card With TS2 240 Water Cooling Black,2.7,"61,990",https://www.noon.com/egypt-en/tmd-shark-gaming-pc-intel-core-i5-12400f-processor-16gb-ram-1tb-m-2-windows-10-pro-6gb-nvidia-geforce-gtx-1660ti-graphic-card-with-ts2-240-water-cooling-black/N53426164A/p/?o=b1321b5374b62b2d,https://f.nooncdn.com/p/v1691247828/N53426164A_1.jpg?width=800
"HP HP Victus Gaming 15-fa1096ne Laptop – Intel Core i7-13700H, 16GB DDR4-5600 (2x8GB), 512GB M.2 SSD, NVIDIA GeForce RTX 4050 6GB, 15.6"" FHD - English/Arabic Performance Blue",N/A,"50,999",https://www.noon.com/egypt-en/hp-victus-gaming-15-fa1096ne-laptop-intel-core-i7-13700h-16gb-ddr4-5600-2x8gb-512gb-m-2-ssd-nvidia-geforce-rtx-4050-6gb-15-6-fhd-english-arabic-performance-blue/N70108701V/p/?o=a053eb37e11314eb,https://f.nooncdn.com/p/pnsku/N70108701V/45/_/1725951361/048b986a-76cf-4ef6-ac07-b005b4d7d243.jpg?width=800
"Lenovo LOQ Gaming Laptop With 15.6-Inch Display, Core i5-12450HX Processor/16GB RAM/512GB SSD/4GB Nvidia GeForce RTX 2050 Graphics Card/Windows 11 English/Arabic Luna Grey",2.7,"35,000",https://www.noon.com/egypt-en/loq-gaming-laptop-with-15-6-inch-display-core-i5-12450hx-processor-16gb-ram-512gb-ssd-4gb-nvidia-geforce-rtx-2050-graphics-card-windows-11-english-arabic-luna-grey/N70130028V/p/?o=a25a34b758d5a5ac,https://f.nooncdn.com/p/pnsku/N70130028V/45/_/1732019292/a7c5fbf0-180c-4b30-b7c1-0740aa344822.jpg?width=800
